year,state_abbr,state_name, population , violent_crime , homicide , rape , robbery , aggravated_assault 
2015,AK,Alaska,737709,5391,59,900,761,3671
2015,AL,Alabama,4853875,22957,348,2037,4612,15960
2015,AR,Arkansas,2977853,15769,189,2008,2117,11455
2015,AZ,Arizona,6817565,27968,306,3109,6360,18193
2015,CA,California,38993940,166883,1861,12811,52862,99349
2015,CO,Colorado,5448819,17348,173,3328,3315,10532
2015,CT,Connecticut,3584730,7938,116,798,2925,4099
2015,DC,District of Columbia,670377,8538,162,494,3746,4136
2015,DE,Delaware,944076,4760,62,361,1240,3097
2015,FL,Florida,20244914,93625,1041,7552,21137,63895
2015,GA,Georgia,10199398,38891,622,3257,12545,22467
2015,HI,Hawaii,1431603,4201,19,538,1085,1878
2015,IA,Iowa,3121997,8619,73,1205,1050,6291
2015,ID,Idaho,1652828,3593,32,703,191,2667
2015,IL,Illinois,12839047,49755,754,4926,15056,29019
2015,IN,Indiana,6612768,25373,370,2386,7081,15536
2015,KS,Kansas,2906721,11483,126,1684,1823,7850
2015,KY,Kentucky,4424611,9887,219,1644,3314,4710
2015,LA,Louisiana,4668960,25202,492,1733,5561,17416
2015,MA,Massachusetts,6784240,26453,131,2082,5266,18974
2015,MD,Maryland,5994983,28185,538,1717,10111,15819
2015,ME,Maine,1329453,1726,23,461,311,931
2015,MI,Michigan,9917715,41712,585,6710,7818,26599
2015,MN,Minnesota,5482435,13319,133,2321,3771,7094
2015,MO,Missouri,6076204,30292,503,2573,6383,20833
2015,MS,Mississippi,2989390,8190,253,1158,2312,4467
2015,MT,Montana,1032073,3647,38,572,210,2827
2015,NC,North Carolina,10035186,34734,517,2591,8821,22805
2015,ND,North Dakota,756835,1949,21,391,159,1378
2015,NE,Nebraska,1893765,5167,62,885,994,3226
2015,NH,New Hampshire,1330111,2692,15,644,475,1558
2015,NJ,New Jersey,8935421,22879,363,1373,9729,11414
2015,NM,New Mexico,2080328,13672,117,1663,2485,9407
2015,NV,Nevada,2883758,20118,178,1688,6287,11965
2015,NY,New York,19747183,75126,613,6141,23879,44493
2015,OH,Ohio,11605090,34373,522,5441,12617,15793
2015,OK,Oklahoma,3907414,16746,240,1953,3018,11535
2015,OR,Oregon,4024634,10680,110,1650,2163,6757
2015,PA,Pennsylvania,12791904,40348,665,4299,12965,22419
2015,RI,Rhode Island,1055607,2565,31,467,547,1520
2015,SC,South Carolina,4894834,24448,407,2439,3950,17652
2015,SD,South Dakota,857919,3302,33,500,215,2554
2015,TN,Tennessee,6595056,40816,418,2801,7499,30098
2015,TX,Texas,27429639,113193,1317,12323,31924,67629
2015,UT,Utah,2990632,7138,57,1704,1329,4048
2015,VA,Virginia,8367587,16705,390,2499,4459,9357
2015,VT,Vermont,626088,747,10,150,105,482
2015,WA,Washington,7160290,20505,218,2778,5450,12059
2015,WI,Wisconsin,5767891,17549,240,1805,5234,10270
2015,WV,West Virginia,1841053,6397,85,710,783,4819
2015,WY,Wyoming,586555,1300,16,171,59,1054
2016,AK,Alaska,741522,5966,52,1053,850,4011
2016,AL,Alabama,4860545,25878,407,1915,4687,18869
2016,AR,Arkansas,2988231,16563,217,2214,2125,12007
2016,AZ,Arizona,6908642,32542,389,3304,7045,21804
2016,CA,California,39296476,174796,1930,13702,54789,104375
2016,CO,Colorado,5530105,19030,189,3635,3525,11681
2016,CT,Connecticut,3587685,8169,79,791,2711,4588
2016,DC,District of Columbia,684336,8236,136,533,3500,4067
